ipCoords
2
0 0 -3.00000 -3.00000 
0 1 -2.96307 -2.53070 
1 0 2.96307 -2.53070 
1 1 3.00000 -3.00000 
2 0 -0.857418 -5.87486 
2 1 -1.09622 -5.79255 
3 0 -0.406987 -5.97227 
3 1 -0.627190 -5.93371 
4 0 1.83916 -5.37012 
4 1 1.59040 -5.54374 
5 0 2.31557 -4.90739 
5 1 2.08291 -5.15905 
6 0 -1.34150 -5.68335 
6 1 -1.59040 -5.54374 
7 0 2.86505 -3.88965 
7 1 2.71633 -4.27341 
8 0 -2.71633 -4.27341 
8 1 -2.86505 -3.88965 
9 0 2.12132 -0.878680 
9 1 2.42705 -1.23664 
10 0 1.34150 -5.68335 
10 1 1.09622 -5.79255 
11 0 -1.36197 -0.326980 
11 1 -0.927051 -0.146830 
12 0 0.197747 -5.99348 
12 1 0.00000 -6.00000 
13 0 2.42705 -1.23664 
13 1 2.67302 -1.63803 
14 0 1.09622 -5.79255 
14 1 0.857418 -5.87486 
15 0 -2.42705 -1.23664 
15 1 -2.12132 -0.878680 
16 0 1.36197 -0.326980 
16 1 1.76336 -0.572949 
17 0 -0.469303 -0.0369350 
17 1 0.00000 0.00000 
18 0 -1.59040 -5.54374 
18 1 -1.83916 -5.37012 
19 0 2.96397 -3.46354 
19 1 2.86505 -3.88965 
20 0 -2.86505 -3.88965 
20 1 -2.96397 -3.46354 
21 0 -2.52969 -4.61266 
21 1 -2.71633 -4.27341 
22 0 2.71633 -4.27341 
22 1 2.52969 -4.61266 
23 0 2.67302 -1.63803 
23 1 2.85317 -2.07295 
24 0 -2.85317 -2.07295 
24 1 -2.67302 -1.63803 
25 0 0.927051 -0.146830 
25 1 1.36197 -0.326980 
26 0 0.00000 0.00000 
26 1 0.469303 -0.0369350 
27 0 -2.08291 -5.15905 
27 1 -2.31557 -4.90739 
28 0 0.469303 -0.0369350 
28 1 0.927051 -0.146830 
29 0 2.08291 -5.15905 
29 1 1.83916 -5.37012 
30 0 0.857418 -5.87486 
30 1 0.627190 -5.93371 
31 0 -2.12132 -0.878680 
31 1 -1.76336 -0.572949 
32 0 0.627190 -5.93371 
32 1 0.406987 -5.97227 
33 0 2.52969 -4.61266 
33 1 2.31557 -4.90739 
34 0 -2.31557 -4.90739 
34 1 -2.52969 -4.61266 
35 0 -0.197747 -5.99348 
35 1 -0.406987 -5.97227 
36 0 -1.83916 -5.37012 
36 1 -2.08291 -5.15905 
37 0 -0.627190 -5.93371 
37 1 -0.857418 -5.87486 
38 0 0.406987 -5.97227 
38 1 0.197747 -5.99348 
39 0 3.00000 -3.00000 
39 1 2.96397 -3.46354 
40 0 -2.96397 -3.46354 
40 1 -3.00000 -3.00000 
41 0 -1.76336 -0.572949 
41 1 -1.36197 -0.326980 
42 0 -0.927051 -0.146830 
42 1 -0.469303 -0.0369350 
43 0 -1.09622 -5.79255 
43 1 -1.34150 -5.68335 
44 0 1.59040 -5.54374 
44 1 1.34150 -5.68335 
45 0 1.76336 -0.572949 
45 1 2.12132 -0.878680 
46 0 2.85317 -2.07295 
46 1 2.96307 -2.53070 
47 0 -2.96307 -2.53070 
47 1 -2.85317 -2.07295 
48 0 -2.67302 -1.63803 
48 1 -2.42705 -1.23664 
49 0 0.00000 -6.00000 
49 1 -0.197747 -5.99348 
newXOutput 1
0 0 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0
0 1 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0
1 0 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0
1 1 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0
2 0 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0
2 1 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0
